word,model,acc,f1
অর্থ,muril,0.6326530612244898,0.6131578947368421
অর্থ,xl-lexeme,0.7244897959183674,0.6980486134885313
অর্থ,xlm-r,0.6938775510204082,0.625
অর্থ,indic,0.6326530612244898,0.6326530612244898
অর্থ,e5,0.673469387755102,0.6487455197132617
অর্থ,mbert,0.6938775510204082,0.5454545454545454
অর্থ,banglabert,0.6530612244897959,0.5309684684684685
অর্থ,sahajbert,0.6224489795918368,0.5961688384007128
অর্থ,e5-large,0.7040816326530612,0.6868319559228651
অর্থ,labse,0.6122448979591837,0.6016260162601625
অর্থ,para-miniLM-multilingual,0.5612244897959183,0.5476113794954375
অর্থ,para-xlm-r-multilingual,0.6428571428571429,0.41696413394526605
অর্থ,csebuet-banglabert,0.673469387755102,0.4555555555555556
অর্থ,csebuet-banglabert-large,0.5612244897959183,0.558974358974359
